P,I,D
0.3,12.938775510204081,13.846153846153847
0.3,12.938775510204081,14.102564102564102
0.3,12.938775510204081,14.358974358974358
0.3,12.938775510204081,14.615384615384615
0.3,12.938775510204081,14.871794871794872
0.3,12.938775510204081,15.128205128205128
0.3,12.938775510204081,15.384615384615383
0.3,12.938775510204081,15.64102564102564
0.3,12.938775510204081,15.897435897435898
0.3,12.938775510204081,16.153846153846153
0.3,12.938775510204081,16.41025641025641
0.3,12.938775510204081,16.666666666666664
0.3,12.938775510204081,16.923076923076923
0.3,12.938775510204081,17.17948717948718
0.3,12.938775510204081,17.435897435897434
0.3,12.938775510204081,17.692307692307693
0.3,12.938775510204081,17.94871794871795
0.3,12.938775510204081,18.205128205128204
0.3,12.938775510204081,18.46153846153846
0.3,12.938775510204081,18.717948717948715
0.3,12.938775510204081,18.974358974358974
0.3,12.938775510204081,19.23076923076923
0.3,12.938775510204081,19.487179487179485
0.3,12.938775510204081,19.743589743589745
0.3,12.938775510204081,20.0
0.3,13.408163265306122,10.0
0.3,13.408163265306122,10.256410256410255
0.3,13.408163265306122,10.512820512820513
0.3,13.408163265306122,10.76923076923077
0.3,13.408163265306122,11.025641025641026
0.3,13.408163265306122,11.282051282051281
0.3,13.408163265306122,11.538461538461538
0.3,13.408163265306122,11.794871794871796
0.3,13.408163265306122,12.051282051282051
0.3,13.408163265306122,12.307692307692307
0.3,13.408163265306122,12.564102564102564
0.3,13.408163265306122,12.820512820512821
0.3,13.408163265306122,13.076923076923077
0.3,13.408163265306122,13.333333333333332
0.3,13.408163265306122,13.58974358974359
0.3,13.408163265306122,13.846153846153847
0.3,13.408163265306122,14.102564102564102
0.3,13.408163265306122,14.358974358974358
0.3,13.408163265306122,14.615384615384615
0.3,13.408163265306122,14.871794871794872
0.3,13.408163265306122,15.128205128205128
0.3,13.408163265306122,15.384615384615383
0.3,13.408163265306122,15.64102564102564
0.3,13.408163265306122,15.897435897435898
0.3,13.408163265306122,16.153846153846153
0.3,13.408163265306122,16.41025641025641
0.3,13.408163265306122,16.666666666666664
0.3,13.408163265306122,16.923076923076923
0.3,13.408163265306122,17.17948717948718
0.3,13.408163265306122,17.435897435897434
